TWEET,MESSAGE,MATCH,POLARITY
41,IGO 7 SLV i unes El Salvador JAYBDEF 1 Sweet Dream 2 Call me 3 Cold Night OFFSHO E Scene3 DEF JAEBEOM JAYB,"['sweet', 'cold']",Neutral
42,HO SNOW DVD,[],Neutral
43,oricon Snow Man SnowMan honeylemo,[],Neutral
44,cloud0575 i just saw your tl buddy in every wish your last line is for snow yaar you few are really gems here n snow i,['gems'],Positive
45,ostevinM CrphMyanmar Hlaing 16th ward errorists rioted in Hlaing MarLarMyaing 6th ward destroyed cars doors ro,[],Neutral
46,UL AGLOSS when hozier said i m so full of love i could barely eat and my baby s sweet as can be she gives me toothaches just from,"['love', 'sweet']",Positive
47,KayeSteinsapir lesmiddleton Hi Kaye I did see the part about the BIG sign and the whale I m so happy for you I,['happy'],Positive
48,gitardi hari ini bawa Syidi kucing dari FHUI ke vet karena dia atit flu tp ga perlu gw bantuin uda ngmg sendiri ke dokternya http,[],Neutral
49,BorjaLzuriaga 4 JAJAJAJAJA pero asco del bueno xD que tenga piques con snow me da vida jajaja,[],Neutral
50,btscrop idk if you ve done snow flower or not but if you have can you plz drop a link,[],Neutral
51,pote IXGuys Snow Man Snow Man,[],Neutral
52,Check out my broadcast from my PlayStation 4 PS4live Call of Duty Black Ops Cold War live at,['cold'],Negative
53,koyubi 0806 KevanKenney M V I didn t see that coming GIF of Make It Hot his makes me so happy hank you Kevan EQUES SnowMan,"['happy', 'hot']",Positive
54,my period cramp is k lling me and i m cold sweating istg it s not the time for me to pass out,"['cold', 'cramp']",Negative
55,If i plant you a field of every flower i own would you help them to grow Would be like the sunshine after the rain and the bitter cold,"['like', 'bitter', 'cold']",Negative
56,hu Apr 1 02 05 27 2021 Cold Cup temp 16 7,['cold'],Negative
57,sunosoku info 4 8 HE Snow Man,[],Neutral
58,FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep stre,['cold'],Negative
59,defdaily i unes First 1 for Call Me is from Estonia Cold Night is also 4 in Argentina Please purchase Call Me amp Cold Night,['cold'],Negative
60,Fierce breath as cold as arctic winds,"['cold', 'fierce']",Negative
61,iloveprdsdef i unes 10 2 Scene 3 9 Cold Night 12 Call me 18 Ju,['cold'],Negative
62,Wow they really killed Lucifer the cat and in the same way the evil queen in snow white died falling from a grea,"['wow', 'died', 'evil', 'falling', 'killed']",Negative
63,WA CH his roof avalanche was caught on a security camera outside of a home in Willow he AlaskaWxSource team sa,['avalanche'],Negative
64,Elucia s medusa Wholesome and rope lover Likes medusa Cold ready to kill,"['likes', 'lover', 'ready', 'wholesome', 'cold', 'kill']",Positive
65,Billy looked like he was having a cold one so Sav joined him Heheh AnimalCrossing,"['like', 'cold']",Neutral
66,143 countries including Switzerland have signed up for the great eset which the Covid Flu WHO WEF Big ech amp Pharm,['great'],Positive
67,onka oy 1 LennaLeprena April Fools But believe it or not on April 3 5 1987 there was a 2 foot snow here Snowed heavily for 48,[],Neutral
68,BLACK HOLE SUN WON YOU COME AND WASH AWAY HE AINNNNNN S U E ING COLD AND DAMP S ILL HE WA M WIND I ED F IEND,"['won', 'cold']",Neutral
69,hyejoology they re abandoning snow app,[],Neutral
70,modelpress Snow Man steady,['steady'],Positive
71,Patrizia MB On a spring day when the sun shines hot and the wind blows cold by Arthur Hacker Happy spring,"['happy', 'hot', 'cold']",Positive
72,HeinzUK Introducing Smoup A tasty blend of the iconic Heinz Cream of omato Soup and classic Strawberry and Banana innocent Smo,['classic'],Positive
73,VyxeeAiru And Snow Man not being helpful too Oh welcome to the pink club ok no I love pink so my room is just full of it,"['helpful', 'love', 'welcome']",Positive
74,btchesluvvsosa As a kid I was told that explaining myself during an argument was talking back so I have a real hard time expressing m,['hard'],Negative
75,snow ouen 9 EQUES SnowMan M V FridayLivestream Snow Man 1 Grandeur KIS,['grandeur'],Positive
76,All the boomers around me say they re only vaccinating to placate everyone complaining about dying I also hear t,"['complaining', 'dying']",Negative
77,oricon Snow Man SnowMan honeylemo,[],Neutral
78,hrhm bot thinlizzy thin lizzy cold sweat,['cold'],Negative
79,IMPO AN LEGI LIFE HACK If your legs are ever cold just piss yourself he hot urine will run down your pants and warm you up,"['hot', 'warm', 'cold', 'hack']",Neutral
80,why is everyone shocked that it s snow white has no one grew up with kingdom hearts PLS i m sleepy and i m easil,['shocked'],Negative
81,o tanto q vo enlouquecer cherando snow fairy strike back masauyme chasing ashita no narase se exibir o zero f,['strike'],Negative
82,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
83,front a cold warm front,"['warm', 'cold']",Neutral
84,PU ANGINA KELAN BA MAG KAKA SNOW SA PILIPINAS ANG INI,[],Neutral
85,officialshaane i get high cause the lows can be so cold,['cold'],Negative
86,O 7Ahga FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep streaming O,['cold'],Negative
87,urmeric has a protective as well as therapeutic action in persons suffering from cough and cold,"['protective', 'well', 'cold', 'suffering']",Neutral
88,I know this is an April fools but I would pay good money for this on cold match days,"['good', 'cold']",Neutral
89,he sluggard will not plow by reason of the cold therefore shall he beg in harvest and have nothing Proverbs 2,"['beg', 'cold']",Negative
90,third cold sore in a month,"['cold', 'sore']",Negative
91,PenguinUKBooks It was a bright cold day in April and the clocks were striking thirteen George Orwell Nineteen Eighty Four hro,"['bright', 'striking', 'cold']",Positive
92,raditional Indian Summer Drink Ginger Lime Squash now quick and easy to make Our Ginger Lime Squash is best,"['best', 'easy', 'squash']",Positive
93,ourobororoboruo Bitch puts Koreans in danger too by spewing this trash this cold blooded opportunism is honestly next level,"['bitch', 'cold', 'danger', 'spewing', 'trash']",Negative
94,row spoilers Zoya of the lost city Zoya of the garden Zoya bleeding in the snow ise Zoya queen of av,"['bleeding', 'lost']",Negative
95,libertytarian FLASHBACK Swine Flu Fear amp Propaganda PSAs 1 Yr Later V News Asked Where Did It Go hat pandemic VANISHED in,"['fear', 'propaganda']",Negative
96,defdaily i unes First 1 for Call Me is from Estonia Cold Night is also 4 in Argentina Please purchase Call Me amp Cold Night,['cold'],Negative
97,shinchocalendar Snow Man 2021 4 2022 3 Johnnys Official 9,[],Neutral
98,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
99,didogenchev70 Happy first snow,['happy'],Positive
100,DavidJo80474916 100 Pure Acacia Honey One of the clearest honey you will ever see our 100 Pure Acacia Hone,['pure'],Positive
101,musicjp mti Sexy Zone 10 Snow Man HiHI Jets SP SexyZone SnowMan,['sexy'],Positive
102,oricon Snow Man LOVE Steady SnowMan steady,"['love', 'steady']",Positive
103,1anjohn Why women gotta be knocked out cold for y all to consider it abuse,"['abuse', 'cold']",Negative
104,HbcuAnime Boy that would be a cold as fight lol,['cold'],Negative
105,CycleJunkie88 Dawn J90 KC az heDisproof IBergwiesel obert76907841 MikeDel21893959 CarrudoDon FriendsOScience johnson wrjohn,['dawn'],Positive
106,1anjohn Why women gotta be knocked out cold for y all to consider it abuse,"['abuse', 'cold']",Negative
107,2011 11 22 Snow Pink My My 2012 1 5 Mcount Down 1,[],Neutral
108,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
109,Worthy read Understand your customers,['worthy'],Positive
110,oricon Snow Man SnowMan honeylemo,[],Neutral
111,absk snow 4 8 22 00 HE Snow Man,[],Neutral
112,this has like 3 lord of the rings references a ppgcasper reference and a stone cold steve austin bar why arent u,"['like', 'cold']",Neutral
113,Mate I don t hold the munitions,[],Neutral
114,KevanKenney M V EQUES SnowMan M V FridayLivestream Good luck this week Snow Man Grandeur Big,"['good', 'grandeur', 'luck']",Positive
115,UL AGLOSS when hozier said i m so full of love i could barely eat and my baby s sweet as can be she gives me toothaches just from,"['love', 'sweet']",Positive
116,shinchocalendar Snow Man 2021 4 2022 3 Johnnys Official 9,[],Neutral
117,O 7Ahga FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep streaming O,['cold'],Negative
118,dubsndoo But the vaccine does have and for all of us who every year get a flu shot but the thing about the coronav,[],Neutral
119,modelpress Snow Man steady,['steady'],Positive
120,ESP I O EU CU A MELANIE A VIVA EU SEI,[],Neutral
121,speakinofsosa PSA IF YOU E S ILL HAVING ISSUES WI H B AVO 381 INVISIBLE GA O WA CH HIS 100 FIX Cold War How to fix Bravo 381,"['bravo', 'cold', 'invisible', 'issues']",Negative
122,O 7Ahga FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep streaming O,['cold'],Negative
123,oricon Snow Man LOVE Steady SnowMan steady,"['love', 'steady']",Positive
124,absk snow 4 8 22 00 HE Snow Man,[],Neutral
125,Boarding Apologies for glove it s still cold enough here 2 3 with windchill,"['enough', 'cold']",Neutral
126,Hlaing 16th ward errorists rioted in Hlaing MarLarMyaing 6th ward destroyed cars doors robbed cold drinks amp viole,['cold'],Negative
127,Gunmetalr0se BF Snow trip sk8infinity SK8 HEINFINI Y,[],Neutral
128,he Cold War era has been in effect for 1 year in 20 days Let s refrain from invading Poland and Greece and Sic,['cold'],Negative
129,OWCalifornia Signs you re from California 1 Complain when it s hot 2 Complain when it s cold,"['hot', 'cold', 'complain']",Negative
130,KCA MOUCHE We don t ask for cold drinks in a drive through We only ask for cold drinks at functions we ask for shit by name i,"['cold', 'shit']",Negative
131,seun edema I want cold mineral,['cold'],Negative
132,g4yp0gg3rZ i only didn t come today bc i have a cold and also i only had one class that i don t need to finish any,['cold'],Negative
133,K G Andersen he WHO mission considered four hypotheses for the emergence of SA S CoV 2 Direct spillover Intermediate host Cold,['cold'],Negative
134,Or maybe it was because I clearly was cold but was too lazy to go and turn up the heating Dumbass with a sore throat,"['clearly', 'cold', 'lazy', 'sore']",Negative
135,SaltyCatPlays Pharma1889 Bungie I doubt someone like UEG even knew about the situation he cold hard truth is,"['like', 'cold', 'doubt', 'hard']",Negative
136,Hlaing 16th ward errorists rioted in Hlaing MarLarMyaing 6th ward destroyed cars doors robbed cold drinks amp viole,['cold'],Negative
137,snowman world 1 1 EQUES Snow Man is our treasure EQUES SnowMan M V FridayLivestream,['treasure'],Positive
138,whisper foot Fun Fact Fire foxes are able to stand the cold with minimal clothing required,"['fun', 'cold']",Neutral
139,incorrecteruri Levi Why is it so cold Erwin Here take my cloak I m not that cold Levi hanks I ll give it back tomorrow Late,['cold'],Negative
140,whisper foot Fun Fact Fire foxes are able to stand the cold with minimal clothing required,"['fun', 'cold']",Neutral
141,Hold on tight and brace for cold,['cold'],Negative
142,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
143,Kartsofficial It just feels good imagine holding a cold bottle on a long journey U r also certain that no one will poison it,"['good', 'cold', 'poison']",Negative
144,garbutt1 janis imaall hat s because things like the flu jab stop you getting the flu If this jab did that I d have the jab,['like'],Positive
145,scruffythedeer scruffy s new job cold nights bouncing for the local xeno monster club i think they hired them as a joke at least,"['cold', 'joke', 'monster']",Negative
146,en Meme 0216 FF L Snow Man,[],Neutral
147,Kimberl56145424 jortquist donwinslow hat s the problem with mob justice they can t fathom any evidence that,['problem'],Negative
148,kimjaeplushwan i m doing this bc you said you re cold takes off jacket amp put it on jisun g feeling warm now better if you f,"['better', 'warm', 'cold']",Positive
149,DCI Kenya My niece was killed in cold blood in her house a year ago and the matter reported at Embassy police stat,"['cold', 'killed']",Negative
150,SeamusHughes ISIS told him to take a hostage to get media attention for ISIS He fortunately got cold feet And decided not to c,"['fortunately', 'cold', 'hostage']",Negative
151,KCA MOUCHE We don t ask for cold drinks in a drive through We only ask for cold drinks at functions we ask for shit by name i,"['cold', 'shit']",Negative
152,Kerala ourism If you are cold tea will warm you if you are too heated it will cool you If you are depressed it will cheer you I,"['cheer', 'cool', 'warm', 'cold', 'depressed']",Positive
153,jvlnap and snow white why is she there,[],Neutral
154,breakingweather No fooling hat s snow showing up on AccuWeather s radar across portions of the interior Northeast Find out how muc,[],Neutral
155,waterparks IF U NAME HAS A VOWEL IN I PLEASE EAD HIS AND HELP HE BAND WA E PA KS IF YOU NAME DOES NO HAVE A VOWEL LE S,[],Neutral
156,Need a cod Cold War editor for clips and rages them in the comments,['cold'],Negative
157,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
158,olumuyiwaayo Cold emailing a Professor feedback Dear hanks for reaching out I m sorry to say that this email is too gener,"['cold', 'sorry']",Negative
159,PlayStation 4 PS4live Call of Duty Black Ops Cold War live at,['cold'],Negative
160,BU GLA Y COLD at 6100 NE S AN ON S PO Portland Police PP21000085773 21 38 pdx911,['cold'],Negative
161,S1105xoxo b KevanKenney M V hank you for the second time Snow Man s new GIF is really cool Many people fall in love with a Snow,"['cool', 'love', 'fall']",Positive
162,VDKing13 YEAH i didnt either but i was tense as the person was administering it so i think thats why all she did,['tense'],Negative
163,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man I m just so grateful to have foun,['grateful'],Positive
164,Lovely nipples to lick,['lovely'],Positive
165,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man aul s dancing is so mesmerizing,['mesmerizing'],Positive
166,tetelyricbot Seokjiinnssi to you the warmth that melts my blue and grey snow flower,['warmth'],Positive
167,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man Honey Lemon Soda starring aul o,['lemon'],Negative
168,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man he theme song for Honey Lemon Sod,['lemon'],Negative
169,Wikimon news GaruruMetal DGM type Medarot A mysterious Medarot thought to be a metallized wolf It is said to have been developed wit,['mysterious'],Negative
170,animechiIl his snow totoro is so beautiful,['beautiful'],Positive
171,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man I want to hear the whole theme son,[],Neutral
172,eflexpillow Is that the EasterWeekend we can see Good Morning Everyone EarlyBiz Who s had snow,['good'],Positive
173,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man I m really always impressed Gr,['impressed'],Positive
174,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man You always cheer me up Grandeur,"['cheer', 'grandeur']",Positive
175,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man I always love you so much it mak,['love'],Positive
176,WizkidtheLegend I agree that we don t talk about madness Wizkid did on o the Max enough Ice Cold shiii Straight into the vei,"['enough', 'cold', 'madness']",Negative
177,P7LxUazL 8l3JSE KevanKenney M V hanks Kevan Oh Make it Hot I like this song amp performance very much Snow Man Grandeur,"['grandeur', 'hot', 'like']",Positive
178,EQUES SnowMan M V FridayLivestream I m rooting for Snow Man Snow Man is the best Grandeur,"['best', 'grandeur']",Positive
179,O 7Ahga FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep streaming O,['cold'],Negative
180,So trampoline car sushi aquarium car a la Snow Piercer disco car a la Supertrain and a smaller train that ta,[],Neutral
181,kazskruge Kerem suggested that place and they took pics of each other there Kerem hates the cold if it s not o,"['cold', 'hates']",Negative
182,Naaoxo9 KevanKenney M V Glad that you checked the live performance of Snow Man hey are absolute SWAG EQUES SnowMan M V Fr,['glad'],Positive
183,8am on a cold ass school morning turning around and seeing that shit SLAM was terrifying,"['cold', 'shit']",Negative
184,BU GLA Y COLD at 6100 NE S AN ON S PO Portland Police PP21000085773 21 38 pdx911 portland pdx oregon,['cold'],Negative
185,MartinB Archaeo Based on a beautiful but hard to knap medium it really took off once humans left tropical latitud,"['beautiful', 'hard']",Neutral
186,LDesintoxicados Primeiras impress es de Jouran he Princess of Snow and Blood Anime original que estreou dias atr s na Crunchyroll,['impress'],Positive
187,1 what if i push you off the bike figaro 2 do you want a headpat from snow is that,[],Neutral
188,defdaily LY ICS ANSLA ION 6 Cold Night Feat HNM Def Jomalxne Lyrics DEFSOUL Jomalxne HNM Composition HNM DEFSOUL,"['feat', 'cold']",Neutral
189,im usa99b3 KevanKenney M V EQUES SnowMan M V FridayLivestream Good luck this week Snow Man Grandeur Big Bang Sw,"['good', 'grandeur', 'luck']",Positive
190,oricon Snow Man LOVE Steady SnowMan steady,"['love', 'steady']",Positive
191,Jon Snow perfeito demais enho uma mania feia de me apaixonar por personagens,['mania'],Negative
192,violet sama Alotta Snow Hal hate tion at the end there Chill like you do in the snow that halates,"['like', 'chill', 'hate']",Negative
193,obbMDWx ttasselWBAL Seems like we tend to get snow in April 1 3 It s dropped 10 degrees here last 2H,['like'],Positive
194,openmyastroeye capricorn placements can get really sarcastic and cold when they re mad,"['cold', 'mad', 'sarcastic']",Negative
195,ShadyLawrence American Horror Story Coven Yeah it s 13 hours BU it s frigging ICONIC Angela Bassett as Marie La,['frigging'],Negative
196,shiba snowburs4 KevanKenney M V EQUES SnowMan M V FridayLivestream hank you for tweeting again he movie is Make It Hot on,['hot'],Positive
197,Snow Early Warning 20cm for Altaussee over 4 days Snow eport Ski J2Ski Altaussee,['warning'],Negative
198,jennygzhang I m 30 and you re gonna have to pry reaction gifs from my cold dead hands,"['cold', 'dead', 'pry']",Negative
199,twobacons11 Wanna see me suck and get fucked in the snow,['suck'],Negative
200,oricon Snow Man SnowMan honeylemo,[],Neutral
201,StrayCatsWM Good afternoon from Mr Moonlight He wanted us to update you as he knows he has a fan club He s recovering well from hi,"['good', 'well']",Positive
202,AKNewsNow WA CH his roof avalanche was caught on a security camera outside of a home in Willow he AlaskaWxSource team says snow b,['avalanche'],Negative
203,UL AGLOSS when hozier said i m so full of love i could barely eat and my baby s sweet as can be she gives me toothaches just from,"['love', 'sweet']",Positive
204,Y rj08 KevanKenney M V EQUES SnowMan M V FridayLivestream Grandeur Big Bang Sweet EVE Y HING IS EVE Y HING,"['grandeur', 'sweet']",Positive
205,After daycare i literally had to walk to McDonald s or the library like every day just to have the wifi to do my c,['like'],Positive
206,mata berasa panas idung mampet kepala kleyengan itu gejala apa ya dok Oh itu gejala flu kayaknya dari kapan k,[],Neutral
207,No more black ops Cold War for me for awhile Hoping on other cod s from here on out until who knows when Download,['cold'],Negative
208,DONVESH S A WI H ONE MECHANISM AND SLOWLY EXPAND O O HE S I started with cold emails Expanded to cold calling Now LinkedIn out,"['cold', 'slowly']",Negative
209,MA to snow perhaps up to east of Mexico and sleet may occur,[],Neutral
210,IGO 7 SLV i unes El Salvador JAYBDEF 1 Sweet Dream 2 Call me 3 Cold Night OFFSHO E Scene3 DEF JAEBEOM JAYB,"['sweet', 'cold']",Neutral
211,Y rj08 KevanKenney M V Starring Snow Man AKIZAWA KABUKI ZE O is the ultimate Japanese entertainment EQUES Snow,[],Neutral
212,Ofuyu03 KevanKenney M V EQUES SnowMan M V FridayLivestream I ll definitely go to the live Wait for me Snow Man gt gt G,[],Neutral
213,GaryFallon2 Scott Morrison is a shell of a human being a mere husk of a person deadly cold inside Which is why he thought this phot,"['cold', 'deadly']",Negative
214,CocaCola ZA What s more satisfying than a delicious meal A delicious meal with an ice cold Coke Comment with a picture of a tasty,"['delicious', 'satisfying', 'cold']",Positive
215,CharlieWGME Hydrology forecasts suggest some of the more reactive rivers in Maine and New Hampshire will be just shy of flood stage h,[],Neutral
216,O 7Ahga FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep streaming O,['cold'],Negative
217,you re so loud,['loud'],Negative
218,twobacons11 Wanna see me suck and get fucked in the snow,['suck'],Negative
219,When you re hot milk things for everything they re worth you can be a long time in the cold and then no one want,"['hot', 'worth', 'cold']",Positive
220,venvante its kinda cold here bc its raining,['cold'],Negative
221,O 7Ahga FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep streaming O,['cold'],Negative
222,sunosoku info 4 2,[],Neutral
223,Streaming call of duty black ops cold war CallofDuty ColdWarupdate twitch witchStreamers,['cold'],Negative
224,mn enta Snow Man steady LOVE SnowMan steady ZE O,"['love', 'steady']",Positive
225,he one morning I get out of bed in time for sunrise on the river London treats me with a grey sky and clouds it,[],Neutral
226,just thought i d spit cold hard f a x,"['cold', 'hard']",Negative
227,Ofuyu03 KevanKenney M V EQUES SnowMan M V FridayLivestream Surrounded by the crowd Snow Man is alive and kicking gt gt,[],Neutral
228,honey magnolia It may be cold but Votto is still gonna bang,['cold'],Negative
229,I m so glad I cant get on cold war and play I ve tried deleting and downloading the game I ve reset my router multi,"['glad', 'cold']",Neutral
230,defdaily i unes First 1 for Call Me is from Estonia Cold Night is also 4 in Argentina Please purchase Call Me amp Cold Night,['cold'],Negative
231,cheesybiscuit7 you should read my fics they re good Cold War AU currently in progress other ideas on the way,"['good', 'progress', 'cold']",Positive
232,LaLa Lyds It s that special time of year in New England where you can sit on the deck enjoying the warmth today but will have to clear,"['clear', 'enjoying', 'warmth']",Positive
233,kimjaeplushwan i m doing this bc you said you re cold takes off jacket amp put it on jisun g feeling warm now better if you f,"['better', 'warm', 'cold']",Positive
234,O 7Ahga FFSHO E s Scene 3 on i unes and Apple Music Charts Focus on the title track Cold Night on i unes and keep streaming O,['cold'],Negative
235,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
236,beeple COLD S O AGE,['cold'],Negative
237,HollyHatch74 KBuc ay NYConmymind1 I just don t thing you have the scientific literacy to understand why you fear,['fear'],Negative
238,AlanHard4 Just got a cold shower,['cold'],Negative
239,excuse me there is snow on the ground,['excuse'],Negative
240,im usa99b3 KevanKenney M V EQUES SnowMan M V FridayLivestream Good luck this week Snow Man Grandeur Big Bang Sw,"['good', 'grandeur', 'luck']",Positive
241,mamb28 KevanKenney M V Snow Man Having debuted last year these 9guys represent a new type of J POP which I hope will reach people,[],Neutral
242,Martin Crowe Sky s executive producer of cricket poured cold water on the hopes of those waiting to get some more,['cold'],Negative
243,olumuyiwaayo Cold emailing a Professor feedback Dear hanks for reaching out I m sorry to say that this email is too gener,"['cold', 'sorry']",Negative
244,modelpress Snow Man steady,['steady'],Positive
245,IGO 7 SLV i unes El Salvador JAYBDEF 1 Sweet Dream 2 Call me 3 Cold Night OFFSHO E Scene3 DEF JAEBEOM JAYB,"['sweet', 'cold']",Neutral
246,anywaystan12 doctor who is too political now did you watch planet of the ood or thin ice or 42 or rise of the cybermen age of steel,[],Neutral
247,i m kinda basic but i love the iced caramel macchiato but with blonde espresso and toffee nut syrup or just a toffe,['love'],Positive
248,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
249,dripping the rain is dripping my heart was racing and only cold i feel warm i feel warm she gave me the sweater,"['warm', 'cold', 'dripping']",Negative
250,mamb28 KevanKenney M V Here s a video of Snow Man s debut live performance EQUES SnowMan M V FridayLivestream Make It Hot,['hot'],Positive
251,fischl lovesu Come in I am uh dressed now he food will get cold he mutters offering his hand to help her get up,['cold'],Negative
252,almostjingo Can you believe President rump cured influenza People have been dying from it since 1918 and now it s gone,['dying'],Negative
253,Crazy ButCute2 I need a hug 62 orgasms and a cold dark room to sleep in,"['hug', 'cold', 'crazy', 'dark']",Negative
254,when my time comes around lay me gently in the cold dark earth no grave can hold my body down i ll crawl home to h,"['cold', 'dark']",Negative
255,blackhatwizardd I just got bad cold email bingo Dear have a nice day Obtained your email from Internet Dar,"['nice', 'bad', 'cold']",Negative
256,silverguyun the emperor decreeing gu yun become the foster father of this preteen child he dug out of the snow gu yun internally I,[],Neutral
257,PenguinUKBooks It was a bright cold day in April and the clocks were striking thirteen George Orwell Nineteen Eighty Four hro,"['bright', 'striking', 'cold']",Positive
258,Vitorilha1 David Braz nesse momento nos s N o pelo interesse do Flu mas pela partida rid cula que fez contra o S o Luiz pelo Gauch,[],Neutral
259,sanhappiny offclAS O Es de snow tonto,[],Neutral
260,bellerophontis I am astonished by this cold cynicm GermanFM speaks about the torture tools they used I lost my job when I was 50,"['astonished', 'cold', 'lost', 'torture']",Negative
261,honeylemon eiga Snow Man SnowMan HEL,[],Neutral
262,Im destroying on Cold War tonight lmaooo ive gotten two nukes already,['cold'],Negative
263,he snow really said April fools,[],Neutral
264,DrKhorSK he world could easily sleepwalk into a dystopia of vaccine blocs just like the Cold War my latest op ed for SCMPNews,"['like', 'cold']",Neutral
265,oricon Snow Man LOVE Steady SnowMan steady,"['love', 'steady']",Positive
266,SN 20200122 2021 04 07 elease Snow Man ZE O 2020 he Movie,[],Neutral
267,poll0920 BK BKBeat BKxBamBam BamBam BamBam1A BAMBAMxABYSS GO 7Official GO 7,[],Neutral
268,Ofuyu02 KevanKenney M V EQUES SnowMan M V FridayLivestream Snow Man shines,[],Neutral
